# OrangeRoute Error Log
# This file will contain error messages from the application
# Last cleaned: $(date)[23-Sep-2025 02:16:02 Asia/Dhaka] Logout attempt for user ID: 2
[23-Sep-2025 02:16:02 Asia/Dhaka] Logout successful, redirecting to landing page
[23-Sep-2025 02:50:51 Asia/Dhaka] Logout attempt for user ID: 2
[23-Sep-2025 02:50:51 Asia/Dhaka] Logout successful, redirecting to landing page
[23-Sep-2025 02:53:21 Asia/Dhaka] Logout attempt for user ID: 2
[23-Sep-2025 02:53:21 Asia/Dhaka] Logout successful, redirecting to landing page
[23-Sep-2025 03:00:56 Asia/Dhaka] Logout attempt for user ID: 1
[23-Sep-2025 03:00:56 Asia/Dhaka] Logout successful, redirecting to landing page
[23-Sep-2025 03:01:19 Asia/Dhaka] Logout attempt for user ID: 2
[23-Sep-2025 03:01:19 Asia/Dhaka] Logout successful, redirecting to landing page
[23-Sep-2025 03:02:39 Asia/Dhaka] Logout attempt for user ID: 3
[23-Sep-2025 03:02:39 Asia/Dhaka] Logout successful, redirecting to landing page
[23-Sep-2025 03:04:59 Asia/Dhaka] Logout attempt for user ID: 2
[23-Sep-2025 03:04:59 Asia/Dhaka] Logout successful, redirecting to landing page
